k,mx,my,est_px,est_py
112,188.865948786379,-5.31064458973236,170.869923374675,-3.48060605016208
113,194.069129099109,-3.16068817085643,173.676191699321,-4.5218468975127
114,197.849523202343,-7.26872256759832,176.482460023966,-5.56308774486332
115,204.804331524774,-9.50942506302006,179.288728348612,-6.60432859221395
116,206.902089512541,-8.04014683880312,182.094996673258,-7.64556943956457
117,207.873811868595,-9.80589560206402,184.901264997904,-8.68681028691519
118,214.451302629916,-13.8041504677572,187.70753332255,-9.72805113426581
119,219.823035966706,-13.0083911363408,190.513801647196,-10.7692919816164
120,222.15208596477,-14.3332548343763,193.320069971841,-11.8105328289671
121,230.506746949484,-17.335258129831,196.126338296487,-12.8517736763177
122,234.553001099397,-18.0819700178434,198.932606621133,-13.8930145236683
123,238.249622324894,-19.7123814858725,201.738874945779,-14.9342553710189
124,245.753227257239,-24.698200292939,204.545143270425,-15.9754962183695
125,250.760979926384,-25.0729465591562,207.351411595071,-17.0167370657202
126,256.173596885646,-25.1611779233384,210.157679919716,-18.0579779130708
127,261.563860975791,-28.203844995004,212.963948244362,-19.0992187604214
128,265.808948365294,-30.6806095272844,215.770216569008,-20.140459607772
129,269.584693567204,-33.3119179851102,218.576484893654,-21.1817004551227
130,274.452476785375,-34.4553032621026,221.3827532183,-22.2229413024733
131,281.9905792954,-37.1517107958281,224.189021542946,-23.2641821498239
132,288.381040125745,-36.256899549796,226.995289867591,-24.3054229971745
133,291.709667427591,-38.4621317118716,229.801558192237,-25.3466638445251
134,298.348627892454,-41.1308480053939,232.607826516883,-26.3879046918758
135,301.622217108345,-44.0637918963018,235.414094841529,-27.4291455392264
136,307.465785227627,-43.6894764087005,238.220363166175,-28.470386386577
137,314.956444926478,-45.5875481249694,241.026631490821,-29.5116272339276
138,320.311380338803,-43.9090176694581,243.832899815466,-30.5528680812782
139,322.12063467163,-52.6810540990998,246.639168140112,-31.5941089286289
140,329.955702229036,-50.1804175549163,249.445436464758,-32.6353497759795
141,328.01291600542,-52.3459867882404,252.251704789404,-33.6765906233301
142,337.049974067763,-50.8733489635433,255.05797311405,-34.7178314706807
143,340.569405581694,-58.26183300585,257.864241438696,-35.7590723180314
144,347.280197321795,-58.9191469585696,260.670509763341,-36.800313165382
145,353.936101556418,-55.9386330421643,263.476778087987,-37.8415540127326
146,358.559499908522,-61.1381381775012,266.283046412633,-38.8827948600832
147,364.035715479627,-62.3312840515565,269.089314737279,-39.9240357074338
148,368.954643029206,-60.9363128836895,271.895583061925,-40.9652765547845
149,374.679332353955,-64.5808070156238,274.70185138657,-42.0065174021351
150,376.986343779474,-70.2399062088358,277.508119711216,-43.0477582494857
151,380.01347073772,-69.7843261525305,379.402589250727,-69.626884387018
152,387.819502313045,-74.1862429084456,386.358433752304,-72.816375393542
153,390.90507904164,-71.7662721713944,391.469294430948,-73.5155096370559
154,399.592492922327,-73.0482771378516,397.804958441364,-74.4618718907053
155,402.110966663921,-78.4262341690982,402.961411264004,-76.8017966648717
156,406.022089781403,-77.4687833666415,407.660408723436,-78.1647491556672
157,410.379793795326,-80.5022131758191,412.141910123925,-80.0287460590147
158,416.314647890776,-82.8571415439811,416.989225262367,-82.0810927393026
159,422.707687102475,-84.5754733508191,422.295756336709,-84.0684370133977
160,427.85391607528,-88.428992603078,427.571860933617,-86.6674977220471
161,430.051133151765,-86.0014511834636,431.9131168949,-87.7979624297551
162,442.177646633041,-88.6983567041137,438.519489861456,-89.3250817093678
163,441.602986479181,-91.3372037362688,443.156014728695,-91.1547430581839
164,446.111906534296,-93.5611188950655,447.694369438376,-93.1057114922623
165,451.735444785718,-95.0293853509083,452.479826130917,-94.9369783748551
166,459.597284685383,-96.3222513683608,458.102658244693,-96.6201922539244
167,463.658938109761,-97.359039964871,463.349485436632,-98.1108903063915
168,465.934614458777,-98.4423109103458,467.78436133437,-99.457926331302
169,472.623672791997,-101.075487277903,472.765868957963,-101.118485220621
170,481.059659131007,-101.974093135568,478.693169379661,-102.567336360483
171,481.328301527818,-103.759219404866,483.1635604552,-104.083777454324
172,489.068505185469,-105.113175460113,488.454806271918,-105.541880107719
